disease,region,season,date,yhat,p50,p75,risk_level
Dengue,Ilocos Region,wet,2025-08-01,2226.179211197811,1529.0,2599.5,Moderate
Dengue,Ilocos Region,wet,2025-09-01,2263.7075168154765,1355.0,1913.0,High
Dengue,MIMAROPA,dry,2025-01-01,877.9387147409661,702.0,720.5,High
Dengue,MIMAROPA,dry,2025-02-01,891.1389790455598,603.0,706.0,High
Dengue,MIMAROPA,dry,2025-03-01,903.0617984174512,631.0,648.0,High
Dengue,MIMAROPA,wet,2025-07-01,2542.6019275176563,2622.0,3346.0,Low
Dengue,MIMAROPA,wet,2025-08-01,2577.7460353166825,1952.0,2926.0,Moderate
Dengue,MIMAROPA,wet,2025-09-01,2612.8901431157096,1322.0,1520.0,High
Dengue,National,dry,2025-01-01,20234.562887601664,13810.0,16561.5,High
Dengue,National,dry,2025-02-01,20551.36057234218,11075.0,13320.0,High
Dengue,National,dry,2025-03-01,20837.500416623938,10066.0,12217.5,High
Dengue,National,wet,2025-07-01,52162.27143286558,49626.0,52275.5,Moderate
Dengue,National,wet,2025-08-01,52910.53704653954,41986.0,62547.5,Moderate
Dengue,National,wet,2025-09-01,53658.80266021351,31496.0,43657.0,High
Dengue,National Capital Region,dry,2025-01-01,2052.17537375626,1880.0,1936.0,High
Dengue,National Capital Region,dry,2025-02-01,2076.116383637512,1516.0,1539.0,High
Dengue,National Capital Region,dry,2025-03-01,2097.740521594773,1147.0,1154.0,High
Dengue,National Capital Region,wet,2025-07-01,5101.242808603904,2302.0,3644.5,High
Dengue,National Capital Region,wet,2025-08-01,5156.959566943869,4230.0,5208.5,Moderate
Dengue,National Capital Region,wet,2025-09-01,5212.676325283831,5598.0,5635.5,Low
Dengue,Negros Island Region,dry,2025-01-01,238.4678873301716,304.0,418.5,Low
Dengue,Negros Island Region,dry,2025-02-01,251.1680061357237,271.0,361.0,Low
Dengue,Negros Island Region,dry,2025-03-01,262.63908118589995,212.0,329.0,Moderate
Dengue,Negros Island Region,wet,2025-07-01,3737.4238121192298,2054.0,2240.0,High
Dengue,Negros Island Region,wet,2025-08-01,3889.255739058377,1616.0,2980.0,High
Dengue,Negros Island Region,wet,2025-09-01,4041.087665997526,997.0,1827.0,High
Dengue,Northern Mindanao,dry,2025-01-01,1714.5809667739848,1201.0,1574.5,High
Dengue,Northern Mindanao,dry,2025-02-01,1745.270262993597,971.0,1312.5,High
Dengue,Northern Mindanao,dry,2025-03-01,1772.9896273209893,906.0,1173.0,High
Dengue,Northern Mindanao,wet,2025-07-01,2896.4911458563934,1866.0,2726.5,High
Dengue,Northern Mindanao,wet,2025-08-01,2943.4300150290787,2014.0,3243.5,Moderate
Dengue,Northern Mindanao,wet,2025-09-01,2990.368884201764,1879.0,2213.5,High
Dengue,SOCCSKSARGEN,dry,2025-01-01,1879.6413407522264,734.0,1121.5,High
Dengue,SOCCSKSARGEN,dry,2025-02-01,1923.3492513837607,757.0,1216.0,High
Dengue,SOCCSKSARGEN,dry,2025-03-01,1962.827364212244,841.0,1469.5,High
Dengue,SOCCSKSARGEN,wet,2025-07-01,2765.5018779912166,1681.0,2310.0,High
Dengue,SOCCSKSARGEN,wet,2025-08-01,2822.121745307118,1582.0,2510.0,High
Dengue,SOCCSKSARGEN,wet,2025-09-01,2878.74161262302,1474.0,1929.5,High
Dengue,Western Visayas,dry,2025-01-01,370.178094858331,399.0,538.5,Low
Dengue,Western Visayas,dry,2025-02-01,387.7567499577435,372.0,481.0,Moderate
Dengue,Western Visayas,dry,2025-03-01,403.6342448862454,333.0,456.0,Moderate
Dengue,Western Visayas,wet,2025-07-01,5275.328067197847,2562.0,3902.0,High
Dengue,Western Visayas,wet,2025-08-01,5471.458096901387,1435.0,4869.0,High
Dengue,Western Visayas,wet,2025-09-01,5667.588126604928,820.0,2193.0,High
Dengue,Zamboanga Peninsula,dry,2025-01-01,1129.1843906958009,850.0,923.0,High
Dengue,Zamboanga Peninsula,dry,2025-02-01,1140.5774468379673,769.0,850.0,High
Dengue,Zamboanga Peninsula,dry,2025-03-01,1150.867949159924,856.0,890.5,High
Dengue,Zamboanga Peninsula,wet,2025-07-01,1828.978390954495,1392.0,2115.5,Moderate
Dengue,Zamboanga Peninsula,wet,2025-08-01,1846.405474632038,1365.0,1908.5,Moderate
Dengue,Zamboanga Peninsula,wet,2025-09-01,1863.8325583095816,1492.0,1507.0,High
