date,cases,p50,p75,risk_level
2019-07-21,15599.0,5713.0,10656.0,High
2019-07-28,21545.0,6456.0,14000.5,High
2019-08-04,20955.0,6209.0,13582.0,High
2019-08-11,20355.0,6749.0,13552.0,High
2019-08-18,20819.0,7288.0,14053.5,High
2019-08-25,19596.0,5450.0,12523.0,High
2019-09-01,22148.0,6547.0,14347.5,High
