Year,Month,Morbidity Weel,Region,Cases,Deaths
2022,1,1,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),62,0
2022,1,1,CORDILLERA ADMINISTRATIVE REGION (CAR),102,0
2022,1,1,MIMAROPA REGION,32,0
2022,1,1,NATIONAL CAPITAL REGION (NCR),120,1
2022,1,1,NEGROS ISLAND REGION (NIR),54,1
2022,1,1,REGION I (ILOCOS REGION),42,0
2022,1,1,REGION II (CAGAYAN VALLEY),121,0
2022,1,1,REGION III (CENTRAL LUZON),235,2
2022,1,1,REGION IV-A (CALABARZON),170,1
2022,1,1,REGION IX (ZAMBOANGA PENINSULA),110,1
2022,1,1,REGION V (BICOL REGION),22,2
2022,1,1,REGION VI (WESTERN VISAYAS),44,2
2022,1,1,REGION VII (CENTRAL VISAYAS),85,2
2022,1,1,REGION VIII (EASTERN VISAYAS),49,0
2022,1,1,REGION X (NORTHERN MINDANAO),221,0
2022,1,1,REGION XI (DAVAO REGION),149,1
2022,1,1,REGION XII (SOCCSKSARGEN),63,0
2022,1,1,REGION XIII (CARAGA),45,0
2022,1,2,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),35,0
2022,1,2,CORDILLERA ADMINISTRATIVE REGION (CAR),68,0
2022,1,2,MIMAROPA REGION,27,0
2022,1,2,NATIONAL CAPITAL REGION (NCR),154,0
2022,1,2,NEGROS ISLAND REGION (NIR),28,0
2022,1,2,REGION I (ILOCOS REGION),19,0
2022,1,2,REGION II (CAGAYAN VALLEY),48,0
2022,1,2,REGION III (CENTRAL LUZON),152,1
2022,1,2,REGION IV-A (CALABARZON),87,1
2022,1,2,REGION IX (ZAMBOANGA PENINSULA),72,0
2022,1,2,REGION V (BICOL REGION),12,0
2022,1,2,REGION VI (WESTERN VISAYAS),25,0
2022,1,2,REGION VII (CENTRAL VISAYAS),75,2
2022,1,2,REGION VIII (EASTERN VISAYAS),29,0
2022,1,2,REGION X (NORTHERN MINDANAO),148,0
2022,1,2,REGION XI (DAVAO REGION),130,0
2022,1,2,REGION XII (SOCCSKSARGEN),48,0
2022,1,2,REGION XIII (CARAGA),33,0
2022,1,3,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),33,0
2022,1,3,CORDILLERA ADMINISTRATIVE REGION (CAR),40,1
2022,1,3,MIMAROPA REGION,25,1
2022,1,3,NATIONAL CAPITAL REGION (NCR),200,0
2022,1,3,NEGROS ISLAND REGION (NIR),19,3
2022,1,3,REGION I (ILOCOS REGION),14,0
2022,1,3,REGION II (CAGAYAN VALLEY),73,0
2022,1,3,REGION III (CENTRAL LUZON),188,2
2022,1,3,REGION IV-A (CALABARZON),113,1
2022,1,3,REGION IX (ZAMBOANGA PENINSULA),74,4
2022,1,3,REGION V (BICOL REGION),9,0
2022,1,3,REGION VI (WESTERN VISAYAS),27,1
2022,1,3,REGION VII (CENTRAL VISAYAS),70,2
2022,1,3,REGION VIII (EASTERN VISAYAS),27,1
2022,1,3,REGION X (NORTHERN MINDANAO),99,0
2022,1,3,REGION XI (DAVAO REGION),100,2
2022,1,3,REGION XII (SOCCSKSARGEN),35,0
2022,1,3,REGION XIII (CARAGA),27,0
2022,1,4,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),21,0
2022,1,4,CORDILLERA ADMINISTRATIVE REGION (CAR),40,0
2022,1,4,MIMAROPA REGION,26,0
2022,1,4,NATIONAL CAPITAL REGION (NCR),138,1
2022,1,4,NEGROS ISLAND REGION (NIR),34,0
2022,1,4,REGION I (ILOCOS REGION),16,0
2022,1,4,REGION II (CAGAYAN VALLEY),64,0
2022,1,4,REGION III (CENTRAL LUZON),161,0
2022,1,4,REGION IV-A (CALABARZON),118,0
2022,1,4,REGION IX (ZAMBOANGA PENINSULA),52,3
2022,1,4,REGION V (BICOL REGION),21,0
2022,1,4,REGION VI (WESTERN VISAYAS),25,0
2022,1,4,REGION VII (CENTRAL VISAYAS),80,6
2022,1,4,REGION VIII (EASTERN VISAYAS),38,0
2022,1,4,REGION X (NORTHERN MINDANAO),103,0
2022,1,4,REGION XI (DAVAO REGION),102,0
2022,1,4,REGION XII (SOCCSKSARGEN),40,0
2022,1,4,REGION XIII (CARAGA),26,0
2022,1,5,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),6,0
2022,1,5,CORDILLERA ADMINISTRATIVE REGION (CAR),18,0
2022,1,5,MIMAROPA REGION,7,0
2022,1,5,NATIONAL CAPITAL REGION (NCR),42,0
2022,1,5,NEGROS ISLAND REGION (NIR),5,0
2022,1,5,REGION I (ILOCOS REGION),3,0
2022,1,5,REGION II (CAGAYAN VALLEY),26,0
2022,1,5,REGION III (CENTRAL LUZON),51,0
2022,1,5,REGION IV-A (CALABARZON),42,0
2022,1,5,REGION IX (ZAMBOANGA PENINSULA),23,0
2022,1,5,REGION V (BICOL REGION),3,0
2022,1,5,REGION VI (WESTERN VISAYAS),3,0
2022,1,5,REGION VII (CENTRAL VISAYAS),51,0
2022,1,5,REGION VIII (EASTERN VISAYAS),10,0
2022,1,5,REGION X (NORTHERN MINDANAO),30,0
2022,1,5,REGION XI (DAVAO REGION),31,1
2022,1,5,REGION XII (SOCCSKSARGEN),7,0
2022,1,5,REGION XIII (CARAGA),9,0
2022,2,5,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),32,0
2022,2,5,CORDILLERA ADMINISTRATIVE REGION (CAR),38,0
2022,2,5,MIMAROPA REGION,15,2
2022,2,5,NATIONAL CAPITAL REGION (NCR),123,0
2022,2,5,NEGROS ISLAND REGION (NIR),33,0
2022,2,5,REGION I (ILOCOS REGION),18,0
2022,2,5,REGION II (CAGAYAN VALLEY),73,0
2022,2,5,REGION III (CENTRAL LUZON),147,0
2022,2,5,REGION IV-A (CALABARZON),111,0
2022,2,5,REGION IX (ZAMBOANGA PENINSULA),74,1
2022,2,5,REGION V (BICOL REGION),13,0
2022,2,5,REGION VI (WESTERN VISAYAS),23,1
2022,2,5,REGION VII (CENTRAL VISAYAS),128,0
2022,2,5,REGION VIII (EASTERN VISAYAS),30,0
2022,2,5,REGION X (NORTHERN MINDANAO),105,0
2022,2,5,REGION XI (DAVAO REGION),64,1
2022,2,5,REGION XII (SOCCSKSARGEN),38,0
2022,2,5,REGION XIII (CARAGA),38,0
2022,2,6,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),44,0
2022,2,6,CORDILLERA ADMINISTRATIVE REGION (CAR),55,0
2022,2,6,MIMAROPA REGION,28,0
2022,2,6,NATIONAL CAPITAL REGION (NCR),201,1
2022,2,6,NEGROS ISLAND REGION (NIR),26,0
2022,2,6,REGION I (ILOCOS REGION),19,0
2022,2,6,REGION II (CAGAYAN VALLEY),86,0
2022,2,6,REGION III (CENTRAL LUZON),175,0
2022,2,6,REGION IV-A (CALABARZON),148,0
2022,2,6,REGION IX (ZAMBOANGA PENINSULA),62,1
2022,2,6,REGION V (BICOL REGION),19,0
2022,2,6,REGION VI (WESTERN VISAYAS),27,1
2022,2,6,REGION VII (CENTRAL VISAYAS),108,1
2022,2,6,REGION VIII (EASTERN VISAYAS),39,0
2022,2,6,REGION X (NORTHERN MINDANAO),108,0
2022,2,6,REGION XI (DAVAO REGION),119,1
2022,2,6,REGION XII (SOCCSKSARGEN),44,3
2022,2,6,REGION XIII (CARAGA),37,0
2022,2,7,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),45,1
2022,2,7,CORDILLERA ADMINISTRATIVE REGION (CAR),59,0
2022,2,7,MIMAROPA REGION,31,0
2022,2,7,NATIONAL CAPITAL REGION (NCR),172,0
2022,2,7,NEGROS ISLAND REGION (NIR),51,1
2022,2,7,REGION I (ILOCOS REGION),13,0
2022,2,7,REGION II (CAGAYAN VALLEY),91,1
2022,2,7,REGION III (CENTRAL LUZON),208,0
2022,2,7,REGION IV-A (CALABARZON),140,0
2022,2,7,REGION IX (ZAMBOANGA PENINSULA),101,1
2022,2,7,REGION V (BICOL REGION),16,0
2022,2,7,REGION VI (WESTERN VISAYAS),29,1
2022,2,7,REGION VII (CENTRAL VISAYAS),163,2
2022,2,7,REGION VIII (EASTERN VISAYAS),40,0
2022,2,7,REGION X (NORTHERN MINDANAO),137,1
2022,2,7,REGION XI (DAVAO REGION),137,0
2022,2,7,REGION XII (SOCCSKSARGEN),59,1
2022,2,7,REGION XIII (CARAGA),48,0
2022,2,8,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),45,1
2022,2,8,CORDILLERA ADMINISTRATIVE REGION (CAR),63,0
2022,2,8,MIMAROPA REGION,22,0
2022,2,8,NATIONAL CAPITAL REGION (NCR),157,4
2022,2,8,NEGROS ISLAND REGION (NIR),35,0
2022,2,8,REGION I (ILOCOS REGION),20,0
2022,2,8,REGION II (CAGAYAN VALLEY),71,0
2022,2,8,REGION III (CENTRAL LUZON),176,0
2022,2,8,REGION IV-A (CALABARZON),132,0
2022,2,8,REGION IX (ZAMBOANGA PENINSULA),90,0
2022,2,8,REGION V (BICOL REGION),34,0
2022,2,8,REGION VI (WESTERN VISAYAS),26,4
2022,2,8,REGION VII (CENTRAL VISAYAS),190,1
2022,2,8,REGION VIII (EASTERN VISAYAS),51,2
2022,2,8,REGION X (NORTHERN MINDANAO),106,1
2022,2,8,REGION XI (DAVAO REGION),106,1
2022,2,8,REGION XII (SOCCSKSARGEN),57,3
2022,2,8,REGION XIII (CARAGA),65,1
2022,2,9,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),20,2
2022,2,9,CORDILLERA ADMINISTRATIVE REGION (CAR),21,0
2022,2,9,MIMAROPA REGION,6,2
2022,2,9,NATIONAL CAPITAL REGION (NCR),51,0
2022,2,9,NEGROS ISLAND REGION (NIR),15,0
2022,2,9,REGION I (ILOCOS REGION),5,0
2022,2,9,REGION II (CAGAYAN VALLEY),33,1
2022,2,9,REGION III (CENTRAL LUZON),60,0
2022,2,9,REGION IV-A (CALABARZON),39,0
2022,2,9,REGION IX (ZAMBOANGA PENINSULA),37,1
2022,2,9,REGION V (BICOL REGION),3,0
2022,2,9,REGION VI (WESTERN VISAYAS),10,0
2022,2,9,REGION VII (CENTRAL VISAYAS),67,0
2022,2,9,REGION VIII (EASTERN VISAYAS),20,0
2022,2,9,REGION X (NORTHERN MINDANAO),43,1
2022,2,9,REGION XI (DAVAO REGION),42,0
2022,2,9,REGION XII (SOCCSKSARGEN),14,0
2022,2,9,REGION XIII (CARAGA),25,0
2022,3,9,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),40,1
2022,3,9,CORDILLERA ADMINISTRATIVE REGION (CAR),28,0
2022,3,9,MIMAROPA REGION,21,0
2022,3,9,NATIONAL CAPITAL REGION (NCR),131,0
2022,3,9,NEGROS ISLAND REGION (NIR),44,1
2022,3,9,REGION I (ILOCOS REGION),13,0
2022,3,9,REGION II (CAGAYAN VALLEY),57,0
2022,3,9,REGION III (CENTRAL LUZON),117,1
2022,3,9,REGION IV-A (CALABARZON),106,0
2022,3,9,REGION IX (ZAMBOANGA PENINSULA),83,0
2022,3,9,REGION V (BICOL REGION),19,0
2022,3,9,REGION VI (WESTERN VISAYAS),24,0
2022,3,9,REGION VII (CENTRAL VISAYAS),152,1
2022,3,9,REGION VIII (EASTERN VISAYAS),41,0
2022,3,9,REGION X (NORTHERN MINDANAO),84,1
2022,3,9,REGION XI (DAVAO REGION),79,1
2022,3,9,REGION XII (SOCCSKSARGEN),54,3
2022,3,9,REGION XIII (CARAGA),39,0
2022,3,10,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),63,1
2022,3,10,CORDILLERA ADMINISTRATIVE REGION (CAR),62,1
2022,3,10,MIMAROPA REGION,28,0
2022,3,10,NATIONAL CAPITAL REGION (NCR),192,1
2022,3,10,NEGROS ISLAND REGION (NIR),38,0
2022,3,10,REGION I (ILOCOS REGION),23,0
2022,3,10,REGION II (CAGAYAN VALLEY),89,1
2022,3,10,REGION III (CENTRAL LUZON),180,0
2022,3,10,REGION IV-A (CALABARZON),156,0
2022,3,10,REGION IX (ZAMBOANGA PENINSULA),159,0
2022,3,10,REGION V (BICOL REGION),18,0
2022,3,10,REGION VI (WESTERN VISAYAS),39,1
2022,3,10,REGION VII (CENTRAL VISAYAS),157,0
2022,3,10,REGION VIII (EASTERN VISAYAS),77,0
2022,3,10,REGION X (NORTHERN MINDANAO),115,0
2022,3,10,REGION XI (DAVAO REGION),131,0
2022,3,10,REGION XII (SOCCSKSARGEN),88,2
2022,3,10,REGION XIII (CARAGA),47,0
2022,3,11,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),73,0
2022,3,11,CORDILLERA ADMINISTRATIVE REGION (CAR),66,0
2022,3,11,MIMAROPA REGION,28,0
2022,3,11,NATIONAL CAPITAL REGION (NCR),172,0
2022,3,11,NEGROS ISLAND REGION (NIR),37,1
2022,3,11,REGION I (ILOCOS REGION),25,0
2022,3,11,REGION II (CAGAYAN VALLEY),79,0
2022,3,11,REGION III (CENTRAL LUZON),196,1
2022,3,11,REGION IV-A (CALABARZON),167,2
2022,3,11,REGION IX (ZAMBOANGA PENINSULA),231,3
2022,3,11,REGION V (BICOL REGION),19,0
2022,3,11,REGION VI (WESTERN VISAYAS),34,1
2022,3,11,REGION VII (CENTRAL VISAYAS),196,0
2022,3,11,REGION VIII (EASTERN VISAYAS),67,1
2022,3,11,REGION X (NORTHERN MINDANAO),132,0
2022,3,11,REGION XI (DAVAO REGION),131,0
2022,3,11,REGION XII (SOCCSKSARGEN),91,0
2022,3,11,REGION XIII (CARAGA),79,0
2022,3,12,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),70,0
2022,3,12,CORDILLERA ADMINISTRATIVE REGION (CAR),68,0
2022,3,12,MIMAROPA REGION,43,0
2022,3,12,NATIONAL CAPITAL REGION (NCR),161,0
2022,3,12,NEGROS ISLAND REGION (NIR),40,0
2022,3,12,REGION I (ILOCOS REGION),36,0
2022,3,12,REGION II (CAGAYAN VALLEY),101,1
2022,3,12,REGION III (CENTRAL LUZON),184,0
2022,3,12,REGION IV-A (CALABARZON),193,1
2022,3,12,REGION IX (ZAMBOANGA PENINSULA),229,0
2022,3,12,REGION V (BICOL REGION),43,0
2022,3,12,REGION VI (WESTERN VISAYAS),37,0
2022,3,12,REGION VII (CENTRAL VISAYAS),285,6
2022,3,12,REGION VIII (EASTERN VISAYAS),84,0
2022,3,12,REGION X (NORTHERN MINDANAO),168,2
2022,3,12,REGION XI (DAVAO REGION),131,0
2022,3,12,REGION XII (SOCCSKSARGEN),109,2
2022,3,12,REGION XIII (CARAGA),104,0
2022,3,13,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),41,0
2022,3,13,CORDILLERA ADMINISTRATIVE REGION (CAR),46,0
2022,3,13,MIMAROPA REGION,25,0
2022,3,13,NATIONAL CAPITAL REGION (NCR),100,0
2022,3,13,NEGROS ISLAND REGION (NIR),34,0
2022,3,13,REGION I (ILOCOS REGION),21,1
2022,3,13,REGION II (CAGAYAN VALLEY),77,0
2022,3,13,REGION III (CENTRAL LUZON),133,0
2022,3,13,REGION IV-A (CALABARZON),105,0
2022,3,13,REGION IX (ZAMBOANGA PENINSULA),154,0
2022,3,13,REGION V (BICOL REGION),27,0
2022,3,13,REGION VI (WESTERN VISAYAS),30,0
2022,3,13,REGION VII (CENTRAL VISAYAS),240,4
2022,3,13,REGION VIII (EASTERN VISAYAS),79,0
2022,3,13,REGION X (NORTHERN MINDANAO),136,0
2022,3,13,REGION XI (DAVAO REGION),92,0
2022,3,13,REGION XII (SOCCSKSARGEN),64,0
2022,3,13,REGION XIII (CARAGA),62,0
2022,4,13,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),22,0
2022,4,13,CORDILLERA ADMINISTRATIVE REGION (CAR),28,0
2022,4,13,MIMAROPA REGION,19,0
2022,4,13,NATIONAL CAPITAL REGION (NCR),54,0
2022,4,13,NEGROS ISLAND REGION (NIR),24,0
2022,4,13,REGION I (ILOCOS REGION),10,0
2022,4,13,REGION II (CAGAYAN VALLEY),43,0
2022,4,13,REGION III (CENTRAL LUZON),75,0
2022,4,13,REGION IV-A (CALABARZON),44,0
2022,4,13,REGION IX (ZAMBOANGA PENINSULA),72,1
2022,4,13,REGION V (BICOL REGION),10,0
2022,4,13,REGION VI (WESTERN VISAYAS),8,0
2022,4,13,REGION VII (CENTRAL VISAYAS),105,0
2022,4,13,REGION VIII (EASTERN VISAYAS),53,0
2022,4,13,REGION X (NORTHERN MINDANAO),83,0
2022,4,13,REGION XI (DAVAO REGION),54,0
2022,4,13,REGION XII (SOCCSKSARGEN),43,0
2022,4,13,REGION XIII (CARAGA),31,0
2022,4,14,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),104,1
2022,4,14,CORDILLERA ADMINISTRATIVE REGION (CAR),61,0
2022,4,14,MIMAROPA REGION,45,1
2022,4,14,NATIONAL CAPITAL REGION (NCR),181,1
2022,4,14,NEGROS ISLAND REGION (NIR),69,0
2022,4,14,REGION I (ILOCOS REGION),40,1
2022,4,14,REGION II (CAGAYAN VALLEY),130,0
2022,4,14,REGION III (CENTRAL LUZON),245,0
2022,4,14,REGION IV-A (CALABARZON),168,1
2022,4,14,REGION IX (ZAMBOANGA PENINSULA),332,3
2022,4,14,REGION V (BICOL REGION),33,0
2022,4,14,REGION VI (WESTERN VISAYAS),65,1
2022,4,14,REGION VII (CENTRAL VISAYAS),320,4
2022,4,14,REGION VIII (EASTERN VISAYAS),113,0
2022,4,14,REGION X (NORTHERN MINDANAO),162,1
2022,4,14,REGION XI (DAVAO REGION),155,0
2022,4,14,REGION XII (SOCCSKSARGEN),121,0
2022,4,14,REGION XIII (CARAGA),112,1
2022,4,15,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),91,2
2022,4,15,CORDILLERA ADMINISTRATIVE REGION (CAR),89,1
2022,4,15,MIMAROPA REGION,50,0
2022,4,15,NATIONAL CAPITAL REGION (NCR),184,1
2022,4,15,NEGROS ISLAND REGION (NIR),73,1
2022,4,15,REGION I (ILOCOS REGION),35,1
2022,4,15,REGION II (CAGAYAN VALLEY),136,0
2022,4,15,REGION III (CENTRAL LUZON),273,0
2022,4,15,REGION IV-A (CALABARZON),200,0
2022,4,15,REGION IX (ZAMBOANGA PENINSULA),368,3
2022,4,15,REGION V (BICOL REGION),31,1
2022,4,15,REGION VI (WESTERN VISAYAS),53,0
2022,4,15,REGION VII (CENTRAL VISAYAS),293,1
2022,4,15,REGION VIII (EASTERN VISAYAS),88,0
2022,4,15,REGION X (NORTHERN MINDANAO),185,1
2022,4,15,REGION XI (DAVAO REGION),156,0
2022,4,15,REGION XII (SOCCSKSARGEN),190,6
2022,4,15,REGION XIII (CARAGA),89,1
2022,4,16,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),122,2
2022,4,16,CORDILLERA ADMINISTRATIVE REGION (CAR),121,0
2022,4,16,MIMAROPA REGION,51,0
2022,4,16,NATIONAL CAPITAL REGION (NCR),198,0
2022,4,16,NEGROS ISLAND REGION (NIR),110,3
2022,4,16,REGION I (ILOCOS REGION),28,0
2022,4,16,REGION II (CAGAYAN VALLEY),179,0
2022,4,16,REGION III (CENTRAL LUZON),288,1
2022,4,16,REGION IV-A (CALABARZON),200,0
2022,4,16,REGION IX (ZAMBOANGA PENINSULA),419,1
2022,4,16,REGION V (BICOL REGION),31,0
2022,4,16,REGION VI (WESTERN VISAYAS),84,0
2022,4,16,REGION VII (CENTRAL VISAYAS),311,1
2022,4,16,REGION VIII (EASTERN VISAYAS),144,1
2022,4,16,REGION X (NORTHERN MINDANAO),229,0
2022,4,16,REGION XI (DAVAO REGION),205,0
2022,4,16,REGION XII (SOCCSKSARGEN),162,1
2022,4,16,REGION XIII (CARAGA),104,0
2022,4,17,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),101,0
2022,4,17,CORDILLERA ADMINISTRATIVE REGION (CAR),143,0
2022,4,17,MIMAROPA REGION,60,0
2022,4,17,NATIONAL CAPITAL REGION (NCR),177,1
2022,4,17,NEGROS ISLAND REGION (NIR),105,0
2022,4,17,REGION I (ILOCOS REGION),48,0
2022,4,17,REGION II (CAGAYAN VALLEY),170,0
2022,4,17,REGION III (CENTRAL LUZON),264,1
2022,4,17,REGION IV-A (CALABARZON),224,2
2022,4,17,REGION IX (ZAMBOANGA PENINSULA),384,2
2022,4,17,REGION V (BICOL REGION),38,0
2022,4,17,REGION VI (WESTERN VISAYAS),75,1
2022,4,17,REGION VII (CENTRAL VISAYAS),342,3
2022,4,17,REGION VIII (EASTERN VISAYAS),129,1
2022,4,17,REGION X (NORTHERN MINDANAO),229,1
2022,4,17,REGION XI (DAVAO REGION),154,0
2022,4,17,REGION XII (SOCCSKSARGEN),155,1
2022,4,17,REGION XIII (CARAGA),96,3
2022,5,18,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),107,3
2022,5,18,CORDILLERA ADMINISTRATIVE REGION (CAR),204,1
2022,5,18,MIMAROPA REGION,82,2
2022,5,18,NATIONAL CAPITAL REGION (NCR),232,0
2022,5,18,NEGROS ISLAND REGION (NIR),170,1
2022,5,18,REGION I (ILOCOS REGION),57,0
2022,5,18,REGION II (CAGAYAN VALLEY),257,3
2022,5,18,REGION III (CENTRAL LUZON),372,0
2022,5,18,REGION IV-A (CALABARZON),295,2
2022,5,18,REGION IX (ZAMBOANGA PENINSULA),410,1
2022,5,18,REGION V (BICOL REGION),40,2
2022,5,18,REGION VI (WESTERN VISAYAS),108,1
2022,5,18,REGION VII (CENTRAL VISAYAS),378,2
2022,5,18,REGION VIII (EASTERN VISAYAS),156,1
2022,5,18,REGION X (NORTHERN MINDANAO),227,2
2022,5,18,REGION XI (DAVAO REGION),185,0
2022,5,18,REGION XII (SOCCSKSARGEN),222,3
2022,5,18,REGION XIII (CARAGA),111,0
2022,5,19,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),138,3
2022,5,19,CORDILLERA ADMINISTRATIVE REGION (CAR),251,0
2022,5,19,MIMAROPA REGION,109,0
2022,5,19,NATIONAL CAPITAL REGION (NCR),257,0
2022,5,19,NEGROS ISLAND REGION (NIR),192,0
2022,5,19,REGION I (ILOCOS REGION),62,0
2022,5,19,REGION II (CAGAYAN VALLEY),276,3
2022,5,19,REGION III (CENTRAL LUZON),546,2
2022,5,19,REGION IV-A (CALABARZON),348,1
2022,5,19,REGION IX (ZAMBOANGA PENINSULA),407,1
2022,5,19,REGION V (BICOL REGION),53,0
2022,5,19,REGION VI (WESTERN VISAYAS),154,0
2022,5,19,REGION VII (CENTRAL VISAYAS),429,0
2022,5,19,REGION VIII (EASTERN VISAYAS),156,1
2022,5,19,REGION X (NORTHERN MINDANAO),288,2
2022,5,19,REGION XI (DAVAO REGION),216,1
2022,5,19,REGION XII (SOCCSKSARGEN),238,1
2022,5,19,REGION XIII (CARAGA),113,1
2022,5,20,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),181,2
2022,5,20,CORDILLERA ADMINISTRATIVE REGION (CAR),275,0
2022,5,20,MIMAROPA REGION,151,1
2022,5,20,NATIONAL CAPITAL REGION (NCR),284,2
2022,5,20,NEGROS ISLAND REGION (NIR),223,1
2022,5,20,REGION I (ILOCOS REGION),75,0
2022,5,20,REGION II (CAGAYAN VALLEY),309,2
2022,5,20,REGION III (CENTRAL LUZON),865,2
2022,5,20,REGION IV-A (CALABARZON),345,0
2022,5,20,REGION IX (ZAMBOANGA PENINSULA),453,2
2022,5,20,REGION V (BICOL REGION),76,0
2022,5,20,REGION VI (WESTERN VISAYAS),249,0
2022,5,20,REGION VII (CENTRAL VISAYAS),479,1
2022,5,20,REGION VIII (EASTERN VISAYAS),196,1
2022,5,20,REGION X (NORTHERN MINDANAO),303,0
2022,5,20,REGION XI (DAVAO REGION),238,1
2022,5,20,REGION XII (SOCCSKSARGEN),261,0
2022,5,20,REGION XIII (CARAGA),110,1
2022,5,21,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),176,2
2022,5,21,CORDILLERA ADMINISTRATIVE REGION (CAR),354,0
2022,5,21,MIMAROPA REGION,178,4
2022,5,21,NATIONAL CAPITAL REGION (NCR),379,1
2022,5,21,NEGROS ISLAND REGION (NIR),275,1
2022,5,21,REGION I (ILOCOS REGION),95,0
2022,5,21,REGION II (CAGAYAN VALLEY),366,0
2022,5,21,REGION III (CENTRAL LUZON),763,2
2022,5,21,REGION IV-A (CALABARZON),423,1
2022,5,21,REGION IX (ZAMBOANGA PENINSULA),504,2
2022,5,21,REGION V (BICOL REGION),73,0
2022,5,21,REGION VI (WESTERN VISAYAS),245,0
2022,5,21,REGION VII (CENTRAL VISAYAS),588,3
2022,5,21,REGION VIII (EASTERN VISAYAS),216,1
2022,5,21,REGION X (NORTHERN MINDANAO),302,1
2022,5,21,REGION XI (DAVAO REGION),220,1
2022,5,21,REGION XII (SOCCSKSARGEN),283,0
2022,5,21,REGION XIII (CARAGA),118,0
2022,5,22,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),78,0
2022,5,22,CORDILLERA ADMINISTRATIVE REGION (CAR),176,1
2022,5,22,MIMAROPA REGION,76,1
2022,5,22,NATIONAL CAPITAL REGION (NCR),201,0
2022,5,22,NEGROS ISLAND REGION (NIR),123,0
2022,5,22,REGION I (ILOCOS REGION),54,1
2022,5,22,REGION II (CAGAYAN VALLEY),134,1
2022,5,22,REGION III (CENTRAL LUZON),317,0
2022,5,22,REGION IV-A (CALABARZON),187,0
2022,5,22,REGION IX (ZAMBOANGA PENINSULA),198,0
2022,5,22,REGION V (BICOL REGION),22,0
2022,5,22,REGION VI (WESTERN VISAYAS),115,2
2022,5,22,REGION VII (CENTRAL VISAYAS),276,3
2022,5,22,REGION VIII (EASTERN VISAYAS),82,0
2022,5,22,REGION X (NORTHERN MINDANAO),134,0
2022,5,22,REGION XI (DAVAO REGION),116,1
2022,5,22,REGION XII (SOCCSKSARGEN),108,0
2022,5,22,REGION XIII (CARAGA),53,0
2022,6,22,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),118,1
2022,6,22,CORDILLERA ADMINISTRATIVE REGION (CAR),295,2
2022,6,22,MIMAROPA REGION,140,0
2022,6,22,NATIONAL CAPITAL REGION (NCR),277,0
2022,6,22,NEGROS ISLAND REGION (NIR),167,1
2022,6,22,REGION I (ILOCOS REGION),64,0
2022,6,22,REGION II (CAGAYAN VALLEY),199,2
2022,6,22,REGION III (CENTRAL LUZON),481,1
2022,6,22,REGION IV-A (CALABARZON),271,1
2022,6,22,REGION IX (ZAMBOANGA PENINSULA),310,0
2022,6,22,REGION V (BICOL REGION),53,0
2022,6,22,REGION VI (WESTERN VISAYAS),144,0
2022,6,22,REGION VII (CENTRAL VISAYAS),333,0
2022,6,22,REGION VIII (EASTERN VISAYAS),137,0
2022,6,22,REGION X (NORTHERN MINDANAO),179,0
2022,6,22,REGION XI (DAVAO REGION),155,1
2022,6,22,REGION XII (SOCCSKSARGEN),181,1
2022,6,22,REGION XIII (CARAGA),74,0
2022,6,23,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),169,1
2022,6,23,CORDILLERA ADMINISTRATIVE REGION (CAR),592,0
2022,6,23,MIMAROPA REGION,289,6
2022,6,23,NATIONAL CAPITAL REGION (NCR),537,1
